Id,WnvPresent
1,0.00036843648
2,0.00019933113
3,0.00018784202
4,2.7809032e-05
5,2.7809032e-05
6,2.7809032e-05
7,2.7809032e-05
8,2.7809032e-05
9,0.00030364806
10,0.00013222115
11,0.00015480572
12,1.8690385e-05
13,1.8690385e-05
14,1.8690385e-05
15,1.8690385e-05
16,1.8690385e-05
17,0.0008938803
18,0.0002650599
19,0.0004558492
20,3.9425853e-05
21,3.9425853e-05
22,3.9425853e-05
23,3.9425853e-05
24,3.9425853e-05
25,0.0013684552
26,0.00074069935
27,0.0006980291
28,0.00010338487
29,0.00010338487
30,0.00010338487
31,0.00010338487
32,0.00010338487
33,0.00024962373
34,0.0001946091
35,0.00012725995
36,2.7150223e-05
37,2.7150223e-05
38,2.7150223e-05
39,2.7150223e-05
40,2.7150223e-05
41,0.00084884354
42,0.0005083098
43,0.0004328724
44,7.093446e-05
45,7.093446e-05
46,7.093446e-05
47,7.093446e-05
48,7.093446e-05
49,0.00024962373
50,0.0001946091
51,0.00012725995
52,2.7150223e-05
53,2.7150223e-05
54,2.7150223e-05
55,2.7150223e-05
56,2.7150223e-05
57,0.00046817813
58,0.00025330484
59,0.00023870551
60,3.5340745e-05
61,3.5340745e-05
62,3.5340745e-05
63,3.5340745e-05
64,3.5340745e-05
65,0.0009144333
66,0.00049484917
67,0.00046633522
68,6.905516e-05
69,6.905516e-05
70,6.905516e-05
71,6.905516e-05
72,6.905516e-05
73,0.001991826
74,0.0010004858
75,0.0010163132
76,0.00013967669
77,0.00013967669
78,0.00013967669
79,0.00013967669
80,0.00013967669
81,0.00043237297
82,0.00025887377
83,0.00022044634
84,3.6117915e-05
85,3.6117915e-05
86,3.6117915e-05
87,3.6117915e-05
88,3.6117915e-05
89,0.0013918754
90,0.00082528696
91,0.0007099843
92,0.000115199895
93,0.000115199895
94,0.000115199895
95,0.000115199895
96,0.000115199895
97,0.0017927524
98,0.0010631522
99,0.0009146473
100,0.00014843342
101,0.00014843342
102,0.00014843342
103,0.00014843342
104,0.00014843342
105,0.00016711313
106,0.00013028066
107,8.5192005e-05
108,1.8174636e-05
109,1.8174636e-05
110,1.8174636e-05
111,1.8174636e-05
112,1.8174636e-05
113,0.00033488686
114,0.00014582642
115,0.0001707345
116,2.0613867e-05
117,2.0613867e-05
118,2.0613867e-05
119,2.0613867e-05
120,2.0613867e-05
121,9.380608e-05
122,4.084224e-05
123,4.781921e-05
124,5.7728944e-06
125,5.7728944e-06
126,5.7728944e-06
127,5.7728944e-06
128,5.7728944e-06
129,0.0005536458
130,0.00029955807
131,0.00028229394
132,4.1795553e-05
133,4.1795553e-05
